# probe3 raw-file manifest
# recorded_utc: 2026-09-06T17:15:00Z
# method: sha256sum per raw file; hash-of-hashes = sha256 of sorted '<hash>  <name>' lines
# HASH-OF-HASHES: e4737d2fde8c5630732becb8c601ffc1a5579707e28b70d5ca8030fa45197e47
# files: 38
fbbb0b33fdeaf27ecc0338ccd8474cec7f2f7ba275d5bc8b646397ea47075ebd  01_os_release.txt
604b1acc092d35ddbfadd31ce886b5441908d559a05b5ea6bae17e220a677081  02_uname_v.txt
e066222b34fcbcfc8397538c5c8aac6861b376613bc8736ca29d52f36b99ea7c  03_python3_ver.txt
13585642d8d26f6c09df8acca742780a632e5a2bf58b7ff29d6fd21736671192  04_meminfo.txt
e49fbda62c84bac5a74c8bdefe466b40ea5288609df211655d71cdbedc0b7627  05_df_root.txt
e3808568867aab7c10fa455c635347758dd8cf8f82380baab840ef5c3e173ff0  06_e2b_file.txt
2042063355b831540b95a1368a03ace78adae8058765bd3a6e2c3db3ef1875b4  07_env_e2b.txt
2332f7153e0eab64c68595feb028f8dad47d2417bfc5e9339634b5c072ec562c  08_boot_id.txt
d0f96c0787c7a20a6ed83caae89a2c8073e8575acb9eb46a9412481d9e2154d0  09_uname_a.txt
cf6eea41822ee07e84b60c3251c20af52672aa996637f3ee6eba9191114d4c55  10_uptime_host.txt
9fc11d4cc9d5b556d53c0e5ce4859ac0c6eb9cceeb2d9dcd90bc9799c8540470  11_cgroup.txt
9412236b3d757b152ca026adac60800042327ed3cd2e518598eebbc73160104e  12_cpuinfo.txt
2da93cf99ff66141f14e8262a1512a4fa8d01cdc21cfc2d30074e12181aa5ebb  13_mounts.txt
dffcffee517f3ab30dd78de0faa26d4ddbe6ce328de1156d06b1d278b3bf7a85  14_net_cfg.txt
4ed1d3c0c15506d44e9698767c18cdf56cca6772513c70de509be2da946a2fd2  15_ulimit.txt
280215b070712ce6f4cb83d26dfaf38dc6ee8a97dd56831fff6a2fb1571b9086  16_b3_testnet_connect.txt
15efd3093d1a0038de3b1ded37f18b74a36f70db55b2978207288f75337c5894  17_b2_known_good.txt
ff352e9f100b8ccd634f45486d6163bdd74f852ccbe3de20192e69ea16202273  18_oom_pre.txt
eac5e3d257ea6242674dd00159afdf2a782d8d11a58a28d00ef4333acac2a125  19_oom_bisect.txt
7eeb200e81a64d4d51d1fa85f6840e4aa3f2031bc26ab5ef49710ef2622fe84d  20_oom_refine.txt
ec66674bb653b0028696145601851cba20d5234a5d68abe78a0a28490f5b7c98  21_fd_ceiling.txt
f48594503e9d9a9f6d2c4a60842c455c4ba4f6821a6300bd3c5d9ccb9a700215  22_smt_penalty.txt
ed639bf87f3f2a64fd3d111f5614790f644a02047e53139aecd7e6c5ad70dd6c  23_disk.txt
bcacf6759972b9c45a270dfe505f3d72f5bb409279e474b0b901d7164d279ca0  24_fd_retry.txt
c272c7f3d8acce012926bfaa9909dd1b348c682fbad16168de338b4c84ae6f3b  25_b1_confounder.txt
8b97362d23e3bcb29ed2967d8c84f2f90d9ac2de3ef5c91b671c8d5ae26b2467  26_dns_sites.txt
03d94ddfdac44e9388e438f42538768a0818878c0c5618fb6edabef04579686d  27_egress_ladder.txt
53dc4f6be2489d0d932db843e2ce1042f5b7a108f75e34889f36a89737da4ca2  28_d5_p1.txt
7e4a38a2c107c5cf84813a8327ee667a6858c0ae69afc8389353916b0958f2ed  28_d5_p2.txt
0af2038add3f717fa023bc48af8a29074e178f148ad24a41c6631f73efa91dec  28_d5_p3.txt
4a0e6823b11a0edb57bf72057436b3268fdf5b886e21b0abc9d212a234e89adf  28_d5_p4.txt
43d18c0d509584850d70baf07f4c9ffd431aff93b2e632b5b4a4349db5f0a600  28_d5_p5.txt
cf1f1c51c8318a24d776c46d349dc408a00cb543c703b5feb9c3fbee1e5071cf  28_d5_p6.txt
a6863467ac9bd818dd7443ce8bf530670b7f246b339217864c0f043601d81816  28_d5_p7.txt
f026de206f661c2e8ab799e50cea89bf0293be0b4ac504af985e2dd8d95c58a3  28_d5_p8.txt
61ba0b352c861bfa84bbb1ea6abafa12dac38aa41ce35ecc1eac5ce1371b60bd  29_ssh_retest.txt
c59eb485559b3ed0461e8a881438a1847dbd8259580201210053ebd16e83a02b  30_local_crypto.txt
5bf72220a78e84360e285f6a510f86a4f661c67dc8b6c5f5def05af4eb7afda8  31_final_checks.txt
# SELF-SHA256(manifest3.txt): b9a55b1ea8a4202f1250daa69569150e32ab0b954420f968ea5b7d6b94df6391
